Designator,Footprint,Quantity,Value,LCSC Part #
"BOOT0, NRST",SW_Push_1P1T_XKB_TS-1187A,2,SW_Push,
"C1, C3, C9",0402,3,1uf,
"C10, C11, C6",0603,3,10uf,
"C12, C13, C2, C4, C5, C7, C8",0402,7,100nf,
D1,0402,1,GREEN LED,
D2,0402,1,BLUE LED,
"J2, J3",PinHeader_1x04_P2.54mm_Vertical,2,Conn_01x04_Pin,
J4,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
"J5, J6",PinSocket_1x10_P2.54mm_Vertical,2,Conn_01x10_Socket,
J7,USB_C_Receptacle_XKB_U262-16XN-4BVC11,1,USB_C_Receptacle_USB2.0_16P,
L1,COIL_GENERATOR,1,L,
"R1, R2",0402,2,5.1K,
R11,0402,1,330,
R12,0402,1,68,
"R3, R4",0402,2,22,
"R5, R8",0402,2,10K,
"R6, R7",0402,2,4.7K,
U1,QFN8P50_160X160X50L40X20N,1,NT3H2111W0FHKH,
U2,SOT-23-5,1,AP2112K-3.3,
U3,LQFP-48_7x7mm_P0.5mm,1,STM32F072C8Tx,
