Designator,Mid X,Mid Y,Rotation,Layer
BOOT0,118.6,-111.5,180.0,top
C1,128.07,-116.75,180.0,top
C10,130.498008,-109.898008,315.0,top
C11,128.425,-118.0,180.0,top
C12,129.510589,-106.739411,45.0,top
C13,106.38,-110.05,180.0,top
C2,127.68,-108.85,180.0,top
C3,126.42,-110.05,0.0,top
C4,126.589411,-95.739411,315.0,top
C5,125.939411,-108.310589,225.0,top
C6,126.4125,-111.3,0.0,top
C7,119.760589,-101.610589,135.0,top
C8,131.210589,-107.360589,315.0,top
C9,130.760589,-108.310589,315.0,top
D1,108.0,-106.135,270.0,top
D2,120.765,-94.3,0.0,top
J2,109.6,-86.21,0.0,top
J3,106.0,-86.21,0.0,top
J4,116.9,-104.845,0.0,top
J5,134.76382049103776,-93.16382049103775,225.0,top
J6,132.19012749103774,-95.74012749103775,225.0,top
J7,124.65,-123.5,0.0,top
NRST,136.6,-111.575,180.0,top
R1,122.29,-118.25,180.0,top
R11,105.9,-108.51,90.0,top
R12,122.789376,-95.439376,135.0,top
R2,126.4,-116.99,90.0,top
R3,123.9,-117.81,90.0,top
R4,125.4,-117.81,90.0,top
R5,132.499376,-106.680624,45.0,top
R6,108.65,-113.56,90.0,top
R7,108.3,-111.39,90.0,top
R8,122.910624,-108.460624,135.0,top
U1,106.4,-112.75,90.0,top
U2,128.5,-114.1625,270.0,top
U3,125.847658,-102.315678,45.0,top
